"Position","Company Name","Current Price","Price Change","Price Change Percentage","Opening Price","Volume","Market Cap","Company Link","Discussion Link","Discussion Icon"
1,"한화에어로스페이스","951,000","상승
 81,000","+9.31%","950,000","292,895","102,783","https://finance.naver.com/item/main.naver?code=012450","https://finance.naver.com/item/board.naver?code=012450","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
2,"그린광학 *","16,070","상승
 1,270","+8.58%","16,120","1,926,754","444,960","https://finance.naver.com/item/main.naver?code=0015G0","https://finance.naver.com/item/board.naver?code=0015G0","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
3,"LIG넥스원","431,000","상승
 33,000","+8.29%","431,000","185,546","88,491","https://finance.naver.com/item/main.naver?code=079550","https://finance.naver.com/item/board.naver?code=079550","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
4,"비츠로넥스텍 *","16,500","상승
 1,220","+7.98%","16,870","10,987,598","7,513,227","https://finance.naver.com/item/main.naver?code=488900","https://finance.naver.com/item/board.naver?code=488900","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
5,"한국항공우주","117,400","상승
 7,300","+6.63%","117,500","871,015","579,023","https://finance.naver.com/item/main.naver?code=047810","https://finance.naver.com/item/board.naver?code=047810","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
6,"스피어 *","13,740","상승
 730","+5.61%","13,780","2,839,061","1,837,111","https://finance.naver.com/item/main.naver?code=347700","https://finance.naver.com/item/board.naver?code=347700","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
7,"현대로템","189,200","상승
 9,400","+5.23%","189,100","599,938","505,954","https://finance.naver.com/item/main.naver?code=064350","https://finance.naver.com/item/board.naver?code=064350","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
8,"타임기술","5,490","상승
 250","+4.77%","5,490","1,293","11,448","https://finance.naver.com/item/main.naver?code=318660","https://finance.naver.com/item/board.naver?code=318660","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
9,"이노스페이스 *","10,820","상승
 490","+4.74%","10,840","1,285,479","1,386,005","https://finance.naver.com/item/main.naver?code=462350","https://finance.naver.com/item/board.naver?code=462350","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
10,"삼양컴텍 *","13,030","상승
 530","+4.24%","13,050","465,870","289,102","https://finance.naver.com/item/main.naver?code=484590","https://finance.naver.com/item/board.naver?code=484590","https://ssl.pstatic.net/imgstock/images5/ico_debatebl2.gif"
